usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder
Uki23,(((adil sejak dalam pikiran))),12/9/19 9:43,anwar_suprijadi,Kita tau barang konsumtif yg diimpor ada dari jaman Indonesia merdeka..karena Indonesia adalah bagian dari dunia.. Yang penting eksekutif dan legislatif bisa berjalan seiring untuk kebutuhan rakyat tanpa ada embel2 KORUPSI!!,12/9/19 10:25
Tyows,6 menit udah deg deg serrr aeee nih game ,12/7/19 9:37,agunkwicaksana,shaw berasa berat banget lari,12/7/19 9:38
AgustinHyuuga,"Aku sayang kamu, tapi aku lebih sayang diriku sendiri ",12/1/19 8:59,JamesBo17635056,Betul,12/1/19 9:01
pangeransiahaan,"Hipotesis: semakin mahal sepiring nasi goreng, semakin banyak topping gak penting di piring untuk menjustifikasi harga yang mahal.",12/31/19 9:20,nurilpmr,betul,12/31/19 9:21
musniumar,"Sy br mnylsikn tlisn bertajuk ""Proyeksi Sosial 2020: Tantangan dan Hrpn."" 5 Tntngn berat yg kt hadapi. Ada lima hrpn. Slh st hrpn: ""Spy dilkkn politik merangkul jangan politik mmkl dgn isu radikalisme, terorisme, anti Pancasila, intoleran."" akhir tlsn ""Didlm ksltn ada kemudahan""",12/27/19 6:57,BgtSuryana,Maaf Prof @musniumar tulisannya ada dimana?,12/27/19 13:36
isfunnyyyy,Waktu kecil diajarin : Sopan santun. Udah gede diajarin : So Fun Santuy,12/29/19 6:11,aiaingsahaa,Bnr bgt,12/29/19 6:54
Iqbalkuntoro1,Para munafik memang pandai menutupi keburukannya,12/25/19 7:17,JohnIrwan4,Munawarman ngaca diri dulu lah...,12/25/19 8:31
Therealazaay,Yang rame di Twitter itu 1. Foto Shirtless 2. Pamer Kemesraan 3. Kumpul sama selebtweet 4. Giveaway Apalagi hayooooo?,12/21/19 10:00,sinamabanyak,Apa ya ,12/21/19 14:38
wufaliang,Yg pasti yg layak diacungi jempol adalah fotografer yg bisa dapat ambil foto ini. Foto ini keren kalau pendapat saya,12/13/19 3:20,Irvanariyanto2,,12/13/19 12:42
chaeunw0o0,"Ya Tuhan kalo kesabaran itu susah didapat, yauda aku minta dikasi rasa â€œbodo amatâ€ù sebanyak banyaknya aja ",12/11/19 6:06,awwwmlubnget,Nohhhh,12/11/19 11:12
edimaha233,"Mungkin anda punya prestasi hebat,mengukir sejarah dan diakui dunia.. tapi saat anda gagal membekali anak anda dengan ilmu agama, semua prestasi itu tak bermakna. Semoga temen-temen yg udah jadi orang tua dikaruniakan Allah putra/putri yg yg paham ilmu agama dan mengamalkannya â€“ at Hotel Horison",12/9/19 8:56,alardabili,Mencetak Generasi Qur'ani.  insya Alloh,12/9/19 9:03
masnovaa,yang bengkok kanan ternyata niqmat,12/7/19 8:44,paramooor,kalau yang bertasbih gimana bang?,12/7/19 8:56
missHOTRODqueen,Hai            Kamu Yang  Norak. Masih mau nyoba atur atur hidup aku? ,12/1/19 8:56,SAL0NPAS,"masih kak, soalnya ngatur hidup orang lebih mudah dari pada ngatur hidupnya sendiri",12/1/19 9:01
strasysty,2020 mau jadi orang baik tapi gamau terlalu baik kayak kemaren soalnya jadi cuma dimanfaatin,12/31/19 7:36,strasysty,hehe bercanda,12/31/19 7:36
dedyriyadi,"Malam MinimalisDengan segelas kopidan sejalas mimpimalam terhidang --Siapa menabur rinduke atas bidang persegi?Langit hitam, gemintangsembunyi. Pada luasankertas, pena jadi penari --Siapa meningkah dengantepuk dan mengentak kaki?Sepi mabuk sendiri.2019",12/27/19 6:34,dedyriyadi,Typo *sejelas,12/27/19 6:36
renjunruu,"Dan akhirnya dia jelasin panjang lebar kalau aku gabolrh suicide dngn car sprt ini. Dia bikin aku jd kuat krna ak udah kehilangan segalanya (trmsk my family), jd aku mutusin buat pergi dr zona nyamanku dan hidup sprt sekarang. Menjadi seorang fangirl kembali.",12/29/19 6:01,renjunruu,"Aku nangis seketika liat video ini. Keinget bbrp bulan yang lalu aku terpuruk kaya gini, kata kata cewe itu persis kek temenku yang kemarin nolongin aku. Ahh, thank u banget videonya",12/29/19 6:54
gusumarAbraham,"Istri diceraikan dgn alasan tidak cocok, apa msh berhak bicara keluarga sakinah dlm ceramahnya?",12/25/19 7:12,zoelhamza,Boleh lah!! Daripada dengerin ceramah para penjilat2 dinegeri ini.!! Ga ada zat nya sma sekali.,12/25/19 8:31
banyu_langit16,Cakung cakung. Enak cuddle ,12/21/19 9:21,apagesuka2gue,Kuy,12/21/19 14:38
anasurbaningrum,"Kirim doa untuk almarhum Mas Sulastomo, Ketua Umum PB HMI 1963-1966. Semoga husnul khatimah. Lahu al-Fatihah. *admin",12/13/19 3:03,SugiatnoB,"Amiiin,,,  tuk ms anas sehat selalu,,,",12/13/19 3:07
JalurCikarang,12.12 wow ga Terasa Bsk Hari Jadinya Jalur Cikarang yang pertama… Yuk ikutan Ucapan Yang paling Kreatif dan menarik Buat Jalur Cikarang.. Akan ada Hadiah menarik Menanti Buat Sobat Cimin Untuk 1 Org terAmbyarrr…,12/11/19 5:58,JalurCikarang,Gampang kok caranya: 1. Follow Twitter Jalur Cikarang 2. Love dan Reetweet 3. Kirim Ucapan Mau Gambar atau Video.  Jangan Lupa Hastag #JalurCikarang1 #SobatCimin. Di mUlai Besok tgl 12.12.19 Jam 00.01 sampe 12.12.19 Jam 23.59,12/11/19 6:00
Haidar_Bagir,Merasa suci itu kotor. Merasa baik itu buruk. Merasa alim itu bodoh. Merasa rendah hati itu sombong. Merasa ikhlas itu tidak ikhlas. Merasa takwa itu hawa nafsu. Merasa jadi sufi itu lawannya sufi. Kebaikan itu adlh tak merasa baik saat berbuat baik->berbuat baik tanpa merasa baik,12/9/19 6:49,tirtanirmaya9,"Merasa ini/merasa itu yg ada dlm hati kita adalah""bisikan si hawa napsu""{setan},disinilah lihainya setan mengelabui kita,ditumbuhkannya ""perasaan ini/itu"" dihati kita,agar kita merasa sdh dekat dgn Allah{pd hal msh sangat jauh dr Allah}.",12/9/19 8:10
PratamaMario,belum punya mobil udah mikirin plat nomornya.. emg gw mah jago ngayal ,12/7/19 8:22,w_ulaan,ENTP gank,12/7/19 8:56
chicohakim,Kecerdasan akademis memang terlalu dilebih-lebihkan.,12/1/19 8:36,anandasukarlan,Masih mending kalau cerdas. Kadang2 cuma gelarnya yg notabene skrg bisa beli online,12/1/19 9:01
haiyoel,"GOPAY GIVEAWAY. 50RIBU, 3 PEMENANG 1. Follow gue boleh, ga jg gpp 2. Reply dengan hal yang bikin bersyukur di 2019. Diumumin besok, Goodluck!",12/31/19 4:57,haiyoel,"Banyak ya yang respon, seneng banget saling menyebarkan aura positif! Bersyukur ternyata ga butuh yang ribet namun sederhana kan?",12/31/19 7:36
Kuresshendo02,Makasi ya yg udah dateng nonton Pajama. Kalian gokil hari ini haha. Energinya mantap. Semoga Tuhan balas dengan segala kebaikan untuk kalian yg selalu support academy. Berjumpa ditahun depan. Happy holiday all. God bless ,12/27/19 6:06,AndreasadiantoO,"Semangat TerusKo @Kuresshendo02 untuk Mengajarkan dan Membantu Anak-Anak Academy.Sebelumnya Aku Ucapkan Merry Chrismast 2019 and Happy New Year 2020Trims Ko @Kuresshendo02 ",12/27/19 9:46
renjunruu,"Hallo.  Aku bulan September lalu disituasi seperti ini, aku 'sampir' saja bunuh diri dan sudah mau jatuh dr FlyOver disalah satu kawasan daerah Jakarta Timur. tapi rencana itu gagal setelah teman  ""online ku"" datang jauh2 dr depok cuma mau nyelametin aku. Btw makasih videonya ^^",12/29/19 6:00,renjunruu,"Dan akhirnya dia jelasin panjang lebar kalau aku gabolrh suicide dngn car sprt ini. Dia bikin aku jd kuat krna ak udah kehilangan segalanya (trmsk my family), jd aku mutusin buat pergi dr zona nyamanku dan hidup sprt sekarang. Menjadi seorang fangirl kembali.",12/29/19 6:54
naaazzzs,kosong hati kayak isi dompet,12/25/19 7:09,bacotgaynn,KANANAZ MISALKAN NNTI ADA TOUR NYA @justinbieber DI INDO PLS ADAIN GA TIKETNYA,12/25/19 7:25
cil_cillaa,Tdur baru bisa jam 00.00 itu napa yak ?? ,12/21/19 8:28,Yogabadawi1,Mungkin nungguin sapa yang ulang tahun di pertengahan malam setiap harinya ,12/21/19 8:54
iimfahima,"Btw ini bukan berarti sy bilang homeschooling paling bener ya.  Tergantung kebutuhan anaknya. Homeschooling itu PR besar buat ortu. Ngga hanya butuh uang lebih, tp juga ilmu dan kehadiran ortu yg total. Tanpa 3 itu,  ga jalan.",12/13/19 2:46,iimfahima,"Itu si Kakak,  udah 12 tahun,  lebih gede dari ibunya. Adek 6 tahun,  cita2nya jadi imam Masjidil Haram",12/13/19 3:18
saefolld66611,"Pekerjaan sebanyak apapun ,kalau cuma di liatin doang,itu akan terasa lebih ringan",12/11/19 5:54,AlfiNurul20,Gitu ya,12/11/19 6:00
just_kopiguy,Hidup tak sependek penis laki-laki.,12/9/19 6:45,mastulus03,Blm pernah dpt yg panjang?,12/9/19 8:10
Kuresshendo02,Hush! Mulut adalah doa ,12/7/19 8:13,F_OllaJKT48,Marahin  koh,12/7/19 8:56
Apni,Kami mohon maaf untuk penonton di luar Jakarta tidak dapat melanjutkan menyaksikan pertandingan NOR vs ARS. Ada masalah tekhnis. Kami sedang memgatasinya. Sekali lagi mohon maaf.,12/1/19 7:25,lea_afc,Di jateng ada beberapa daerah yg tidak bisa menyaksikan @TVRINasional sudah hampir seminggu ini,12/1/19 9:01
gashiaaap,2019 berasa sebentar banget. aseli.,12/31/19 3:44,inrihaa,"Koh kenapa nasi kulit syuurga rekomendasi kokoh beneran enak, gapaham lagi sama reviewnya gapernah tipu2.. thankyou atas semua rekomendasi makanan enak ditahun 2019 ini! Goodjob koh victor sama ko andy",12/31/19 3:53
Pinnosans1,Kayanya gue udah ada difase butuh suami karena butuh teman bobo biar gak begadang mulu____-,12/27/19 5:53,roy_agustyan, : kalau aku jadi suami mu aku nurut baget deh ,12/27/19 6:24
fajarnugros,"Mau ada Bu Susi atau tidak kan kita punya ANGKATAN LAUT bukan? Ada kapal asing ya mestinya, otomatis.",12/29/19 5:48,ElynHandayani,"Tidak perlu surat izin utk menenggelamkan kapal asing yg merampok hasil bumi indonesia, seharusnya aparatur negara bekerja sesuai poksi nya masing"".",12/29/19 13:37
hasief,"Di antara tiga album era kejayaan Blink-182, ini nomor satu bagi gue, baru Enema of the State dan terakhir Take Off Your Pants and Jacket.",12/25/19 6:20,katadochi,"Yup, dan gue butuh berulang2 dengerin baru bisa masuk, dan ternyata ini ga bisa dikejar sama album2 setelahnya. This was a whole different level.",12/25/19 7:25
bebasberkembang,"jika politik tak terlepaskan dari keinginan berkuasa, apakah cinta juga demikian?",12/21/19 8:00,firmansyahnu,Apakah politik melulu soal kekuasaan?,12/21/19 8:54
iimfahima,"Pararel sy riset sekolah, dari yg kurikulum IB, Cambridge, Nasional,  gabungan,  dll. Ketemu sejumlah pakar pendidikan anak juga. Ikhtiar fisik lah. Spiritual dan Fisik,  semua jalan. Tapi ikhtiar spiritual mendahului ikhitiar fisik. Hingga suatu titik ...",12/13/19 2:08,iimfahima,"... Ada teman crita soal home schooling. Singkat crita,  saya riset lagi. Banyak hal. Hasil riset saya share ke si Kakak,  saya minta dia yg putuskan sekolah apa yg dia mau. Si Kakak akhirnya pilih homeschooling. Biar bs fokus ke minatnya,  olahraga dan musik.",12/13/19 3:18
AbuabuKita,Besok otw lagi ke tenggarang 4hri di tanggerang ada yg ngajakin gak yaa..kasian bgt si ayah gak ada yg nyolek nyolek,12/11/19 5:30,an_dini3833,Colek ah,12/11/19 6:00
priboemiasli,Agama mane yg ngajarin BUNUH?,12/9/19 6:42,Zaxian3,"Kalimat si nenek ngaco. Padahal dalam pelajaran dan ajaran agama ada budi pekerti, sopan santun, adap dan tata krama",12/9/19 9:11
Naufaldi0107,Apud bukan empud he he tapi yang legend mabg darma di stasiun sekarang anaknya dan di krucuk arah pesisir,12/7/19 8:10,yarachantique,Oiyaaa H. Apud ,12/7/19 8:14
RickySiahaan,Dulu awal tahun 2000an budaya pensi marak di Indonesia. Tahun 2006 sempat ada pensi SMA di senayan rusuh sampai ada penjarahan. Semenjak itu pensi sempat mati bertahun-tahun karena ijin susah.,12/1/19 7:24,I_P_U_N_G_,"Rusuh disaat berbagai genre musik di indonesia tumbuh pesat, kemudian di babad habis oleh melayu",12/1/19 7:27
tama_gochi14,Malam taun baruan ujan. Mantep mantep nya semakin mantep..,12/31/19 2:53,ansori_anso,enak yg ada doi mah wkwk,12/31/19 3:53
Intanfkm,"Beli di shopee kalo ga salah di beauty lovin, 200rban. Di bglow sama yeppene juga adaaa -s",12/27/19 5:04,hayuatuhhdude,Itu kentel nder apa gimana?,12/27/19 6:24
iimfahima,"Dr pengalamanku, ndak selalu niatnya salah. Bisa juga krn gap yang jauh. Jangankan gue yg bloon dan penuh dosa, itu para ulama di sosmed juga ga bebas dari disalahpahami dan dimaki",12/29/19 5:45,mardiasih,"Kalo gap yg jauh biasanya yg menyalahpahami kayak 5% dari 100% gitu mommy. Tapi kalo yg salah paham ternyata 70% dan pesannya kabur, bur, bur, layak evaluasi deh ",12/29/19 13:37
Putraprtma5353,Pgn ruqyah tp takut setannya ngomong yang kaga2,12/25/19 6:08,golmoon_,Setan suka jujur ada baiknya wkwk,12/25/19 6:22
Pinnosans1,Selamat hari ibu untuk diriku sendiri. Semoga semakin kuat mental dan fisik  jadi ibu sekaligus ayah untuk anakku.,12/21/19 8:00,paidjo0,"Aamiin.., selamat hari ibu",12/21/19 8:54
iimfahima,"Sejak saat itu,  saya ga ada tuntutan akademis sama sekali. Yg penting dia happy. Masuk sekolah telat mulu biarin. I follow her rhythm. Sambil tiap malam tahajud, nangis minta pentunjuk hrs gimana mengurus si Kakak. Minta petunjuk sekolah yg terbaik,  utk dunianya akhiratnya.",12/13/19 2:05,iimfahima,"Pararel sy riset sekolah, dari yg kurikulum IB, Cambridge, Nasional,  gabungan,  dll. Ketemu sejumlah pakar pendidikan anak juga. Ikhtiar fisik lah. Spiritual dan Fisik,  semua jalan. Tapi ikhtiar spiritual mendahului ikhitiar fisik. Hingga suatu titik ...",12/13/19 3:18
raynoldsurbakti,Filokopi sofi,12/11/19 4:55,siniconic,S copy segere loh yowh #burunghantu #ghostrider,12/11/19 4:58
edimaha233,"Udah lama dinda, sejak kita bahas soal dia bawa proposal ke blok M tahun 2010 an",12/9/19 6:37,EnggalPMT,Waduu kebuka deh ,12/9/19 6:37
deathrockstar,Iya generasi tuanya aja diskusinya di gadget.,12/7/19 8:06,annsdj_,"pinter2 nya si pengguna gadget sih, kalo lagi sendiri boleh lah main gadget beda lagi kalo lagi kumpul sama orang",12/8/19 7:22
RickySiahaan,"Miris dengan kerusuhan semalam di musikologi. Perusuh mungkin cuma mikir. â€œGue dirugikan, sekarang gue balas.â€ù Padahal dampak buruknya lebih dari itu. Rusuh Metallica 1993, setelah itu perijinan dipersulit hingga baru tahun 2005 ada konser metal internasional lagi di Jakarta",12/1/19 7:22,deathcrvsh_,pdhl adrenalin merusuh udah menyenangkan,12/1/19 7:27
aldxnmr,"Aku kira aku udah paling goblok, ternyata allah nyemangatin aku lewat kamu, tub.",12/31/19 3:35,aldxnmr,"rame amat, apa g mao mutualan gt?",12/31/19 3:53
SaikoDamai,"Baru menjabat beberapa minggu, Kapolri kita ini diakui sangat HEBAT karena berhasil menangkap pelaku penyiraman air keras kepada Sdr. Novel Baswedan... Tak banyak bicara dan koar koar tapi hasilnya Lhooo...Kita tunggu apa niat pelaku yang keduanya POLISI AKTIF...",12/27/19 4:42,Martoyo81Sri,"Logika sederhana, Oknum anggota polisi aktif sebagai pelaku...Apa mungkin korbanin karir, cuma menjalankan perintah konyol.Harus diusut tuntas...jangan biarkan , oknum aparat jadi alat eksekusi perintah konyol.#Coba,pikir_aja_sendiri.....",12/27/19 4:58
Fach_rozy17,"Sekuat apapun usaha mu untuk bersama, jika tidak sefreskuensi maka akan sia-sia. Tidak akan ketemu,-",12/29/19 5:38,dewiaudryn,"Waduuuh njero ;"")",12/29/19 7:19
SoundOfYogi,Gue gak percaya propaganda Ughyur. Gue lebih gak percaya propaganda pemerintah cinazi,12/25/19 6:03,ngurahsaka,,12/25/19 6:06
arisetia5678,Alun alun hujan hujan gek tetep aja rame yaa ,12/21/19 7:52,Rabbytkyutd_,Tidur nak,12/21/19 8:54
iimfahima,"OK,  sekarang gini kak,  kita fokusnya diganti ya,  yang penting kakak lulus aja ya? Ga usah dipikirin harus sekolah dimana,  yang penting ntar kelas 6 lulus,  OK? Kata saya sambil terus memeluknya erat. Si Kakak mengangguk,  masih lemes,  tapi keliatan wajahnya lega.",12/13/19 2:02,iimfahima,"Sejak saat itu,  saya ga ada tuntutan akademis sama  Yg penting dia happy. Masuk sekolah telat mulu biarin. I follow her rhythm. Sambil tiap malam tahajud, nangis minta pentunjuk hrs gimana mengurus si Kakak. Minta petunjuk sekolah yg terbaik,  utk dunianya akhiratnya.",12/13/19 3:18
miamulyas,"Kalo kalian abis beli sesuatu terus ada orang yang ngomong. â€œini lo beli dimana kok mahal sih? Kemaren gue beli disini segini, ih ditipu kali loâ€ùKalian bakal ngomong apa?",12/11/19 4:02,jek___,sengaja cari yang mahal soalnya duitku banyak,12/11/19 4:58
nabilanabilan2,"Jika jatuh cinta semudah mengucap kata, mungkin yang pandai berbicara lebih mudah mendapat cinta. Jika jatuh cinta lebih mudah dengan lawan bicara, mungkin yang lihai bermain kata, lebih mudah mendapatkan cinta. Tapi cinta itu tentang… Jadi tak mudah bagi yang mudah tumbang..",12/9/19 6:32,Ibn_yubayyin,Cinta itu berkobar kobar ,12/9/19 6:37
saefolld66611,Malam minggu : besoknya libur. Malam senin : besoknya kerja. cuma itu sih yg membedakan,12/7/19 7:58,hai_alexx,Km blum ngantuk?,12/7/19 7:59
ramarizk,Mari kita recap gelaran konser â€œseruâ€ù 2019: LaLaLa Fest. Soundsations Depok. Jakarta Rockspace. Jakarta Weekday Fest. Lokatara Fest. Musikologi.  Ada yg mo nambahin? ,12/1/19 7:05,ramarizk,Oiya bener. https://twitter.com/alssskey/status/1201158781922500608?s=21 â€_,12/1/19 7:27
fajarnugros,"Sejak hari pertama syuting sampai selesai, Malang hujan dari jam 12 siang sampai malam hari.. Hari syuting ngga bisa nambah dengan pemain yg ngga menguasai bahasa Jawa. Tapi ya sudah, kesempatan jangan disia-siakan. Tiap ada masalah: yowis been wae.",12/31/19 2:22,fajarnugros,"Filmnya selesai syuting dan Produser bilang editornya adalah Wawan Wibowo. Saya cek, terakhir Mas Wawan ngedit film KARTINI. Gawat kan? Buat saya ini gawat, mata dan moodnya abis ngerjain film besar. Maka saya datangi dia dgn bawa gorengan dan martabak.",12/31/19 3:53
Iqbalkuntoro1,Anjirr smpe ngilu ngeliahatnya,12/27/19 4:24,Bocah__koplak,Ngilu2 ngeri,12/27/19 4:58
doggudoggu,"Kalian yang humuhumu lom pernah ngerasain punya mertua, nyari hotel buat resepsi di tanggal tsantik, sama DP bayar gubuk ",12/29/19 4:40,doggudoggu,,12/29/19 4:42
humairable,"Temen gue jaman esema dulu ngeue di kamar mandi digedung lantei 2 yang baru di bangun;( terus ketauan terus calon anaknya nyiprat ditemboo tembok, eh kamar mandinya di tutup sampe sekarang, dahal belom perna dipake",12/25/19 5:57,chocadogirl,(( calon anak )) ,12/25/19 6:06
bosendamai,Banyak bat ya akun sok savage tapi ternyata nipu,12/21/19 7:36,mbek_X,Ternyata ENEMY SAVAGE! ,12/21/19 7:36
itsalienate,Terlalu humble dibilang kegatelan. Kalo cuek di bilang jual mahal. Maunya apasi?,12/13/19 2:00,valdkp,Notaw beb pusing sama pemikiran rangorang,12/13/19 6:59
Tyows,Lagu anthem ANI ANI yang udah sukses ===> Drake - Started from the bottom,12/11/19 3:51,tribunkultur_,"Halo mas Tyo, bisa dm?",12/11/19 4:58
Safeeea_,"TAIK ANJING W JUGA PACARAN 3TAUN DARI JAMAN DIA BOTAK AMPE GONDRONG AMPE BOTAK AMPE GONDRONG LAGI, NONTON BOLA KEMANAÂ_ BER2 EH TBTB SUATU HARI ABIS NONTON DIGBK TAUN LALU DIA BILANG ""KITA SAMPE SINI AJA MENDINGAN TEMENAN"" KALO MAU TEMENAN NGAPAIN NUNGGU 3TAUN BARU BILANG BNGST!!!",12/9/19 6:16,Thorskyy,Mantau,12/9/19 6:37
niasugatina,"Tidur sayang, sibuk main hp juga gak ada yang chat.",12/7/19 7:43,Zajum_,Mengingatkan diri sendiri,12/7/19 7:59
saefolld66611,"Cuma ngingetin besok senin ya gaes,takut kalian lupa soalnya. Gw mah baik orangnya suka ngingetin Hahahaha",12/1/19 6:44,AlfiNurul20,Iya fold kamu baik bet deh,12/1/19 7:27
fajarnugros,"Yang saya ingat dari Jawa Timur adalah Cak Kartolo dan Cak Sapari, juga Kirun. Maka saya taruh Cak Kartolo dan Cak Sapari didepan. Ludrukan. Saya berharap penonton Jawa Timurnya mengenali dan nyaman dulu diawal. Kirun?. Jadwal manggungnya gila-gilaan.",12/31/19 2:12,fajarnugros,"Sejak hari pertama syuting sampai selesai, Malang hujan dari jam 12 siang sampai malam hari.. Hari syuting ngga bisa nambah dengan pemain yg ngga menguasai bahasa Jawa. Tapi ya sudah, kesempatan jangan disia-siakan. Tiap ada masalah: yowis been wae.",12/31/19 3:53
dodsky_23,"Nyari sk cpns ga ketemu2 karena lupa naruh. Langsung pusing kepala gw, semua tempat berkas2 gw cari-cari, temen gw hubungin satu2, baru ngeh ternyata gw pindahin diatas lemari, kok bisa Shock teraphy lha ya.",12/27/19 4:16,svarn4,Semua dokumen penting discan atuh ,12/27/19 4:58
jesswjk,Buka igstory pastorinstyle dan langsung merasa jijik + muak. Begitu banyak org Kristen yg victim blaming dan mewajarkan pelecehan seksual dengan alasan: pendeta khilaf dan manusia juga. Malah korban disuruh ikhlas. ,12/29/19 3:38,jesswjk,Gak mau marah2 sendirian. Tapi ini whole another level of crazy gak sih??,12/29/19 3:43
peaaenjeii,"demen banget dateng ke toko elektronik  ngeliar tv segede layar bioskop, nurani bergetar pengen beli, lalu ingat kalo gue cuma anak kosan ",12/25/19 4:52,baadboys13,"Sama, apalagi kalo main ke tempat perabotan2 rumah juga, tp mkir ribet kalo pindahan ",12/25/19 6:06
